Улица Старокачаловская | Улица⏎Старокачаловская | x=1111.2909 | y=1551.1910 | align=left | imp=2 | w=138.8000 | h=37.9200 | rect=1111.2909,1532.2310,1250.0909,1570.1510 | zone=819.8938 | anchor=1099.5352,1567.3713 | ids=12/ulitsa-starokachalovskaya+9/bulvar-dmitriya-donskogo
Красногвардейская | Красногвардейская | x=1487.4697 | y=1537.8371 | align=left | imp=2 | w=147.3600 | h=18.0000 | rect=1487.4697,1528.8371,1634.8297,1546.8371 | zone=938.7874 | anchor=1587.1071,1457.9483 | ids=10/zyablikovo+2/krasnogvardeyskaya
Достоевская | Достоевская | x=853.7783 | y=434.5306 | align=left | imp=1 | w=96.0000 | h=18.0000 | rect=853.7783,425.5306,949.7783,443.5306 | zone=287.4100 | anchor=939.6516,472.7639 | ids=10/dostoevskaya
Красносельская | Красносельская | x=1192.3701 | y=500.6399 | align=left | imp=1 | w=121.6800 | h=18.0000 | rect=1192.3701,491.6399,1314.0501,509.6399 | zone=336.5349 | anchor=1181.9778,506.6399 | ids=1/krasnoselskaya
Тульская | Тульская | x=1005.9597 | y=1104.9162 | align=left | imp=1 | w=70.3200 | h=18.0000 | rect=1005.9597,1095.9162,1076.2797,1113.9162 | zone=343.4645 | anchor=1067.8173,1085.5193 | ids=9/tulskaya
Фрунзенская | Фрунзенская | x=628.1697 | y=973.9232 | align=left | imp=1 | w=98.7200 | h=18.0000 | rect=628.1697,964.9232,726.8897,982.9232 | zone=353.5705 | anchor=706.3023,1005.8784 | ids=1/frunzenskaya
Шаболовская | Шаболовская | x=775.8617 | y=1084.6926 | align=left | imp=1 | w=98.7200 | h=18.0000 | rect=775.8617,1075.6926,874.5817,1093.6926 | zone=357.8797 | anchor=876.3803,1107.4699 | ids=6/shabolovskaya
Улица 1905 года | Улица 1905 года | x=607.7769 | y=536.1366 | align=left | imp=1 | w=124.3200 | h=18.0000 | rect=607.7769,527.1366,732.0969,545.1366 | zone=362.8221 | anchor=641.9369,584.6340 | ids=7/ulitsa-1905-goda
Студенческая | Студенческая | x=551.5335 | y=891.2369 | align=left | imp=1 | w=104.5600 | h=18.0000 | rect=551.5335,882.2369,656.0935,900.2369 | zone=365.5413 | anchor=603.8135,842.2369 | ids=4/studencheskaya
Бауманская | Бауманская | x=1290.9831 | y=581.2563 | align=right | imp=1 | w=92.0000 | h=18.0000 | rect=1198.9831,572.2563,1290.9831,590.2563 | zone=387.5652 | anchor=1302.7209,578.7613 | ids=3/baumanskaya
